,0,1,2,3,4,,
0,0,"In 1979, how much did the average per capita income change for Libyans?","by 1979 the average per-capita income was at $8,170, up from $40 in 1951",there was blood all over,0.337618841,,0.251608702
1,1,Who took over as joint justiciar with Puiset after Mandeville died?,Longchamp,Peter des Roches,0,,
2,2,What primarily makes up the enzymes in our body that regulate the chemical reactions that occur?,Proteins,water,0,,
3,3,What percentage of Palermo residents were female in 2010?,52.60%,52.60%,1,,
4,4,Who elects the members of the Federal Council?,Federal Assembly,Federal Assembly,0.133785093,,
5,5,In what month and year did Plymouth see its highest temperature between 1971 and 2000?,Jun-76,Jul-22,0,,
6,6,In what city did the Renaissance begin?,Florence,Rome,0,,
7,7,What can happen if two over-lapping Grand Lodges are in Amity and decide to share jurisdiction?,Exclusive Jurisdiction can be waived,Exclusive Jurisdiction,0.126314609,,
8,8,"In 2014, what issue of U.S. News & World Report provided rankins for law schools?",Best Graduate Schools,Journalism & Mass Communications,0.090424214,,
9,9,What is the link between North and South America called?,the Isthmus of Panama,Laurasia,0.08768682,,
10,10,When did the U.S. Senate first pass a financial reform bill?,May-10,15-May-31,0,,
11,11,Big room house has found increasing popularity since what year?,2010,2010,1,,
12,12,What are ecosystems views to be?,spontaneous orders,mutually exclusive,0,,
13,13,Who wrote the music for Twilight Princess?,Toru Minegishi and Asuka Ohta,Akira Himekawa,0,,
14,14,What entity enforces the Charter of Fundamental Rights of the European Union?,European Court of Justice,the European Parliament,0.237875648,,
15,15,"What is the method called that mixes red, green, and blue colors to form white light?",multi-color white LEDs,Czochralski method,0.068657106,,
16,16,What does schlachtan mean in german?,"(""to slaughter"" or ""to butcher"")",Golden Liberty,0,,
17,17,Tito was awarded the Decoration of Honour for Services to the Republic of what country?,Austria,Yugoslavia,0,,
18,18,What sections of the Vedas did the Verdanta school favor?,latter parts,"ritual, faith, and religious obligations",0,,
19,19,When did protests in front of Carrefour's stores occur in China?,1-May,1-May,1,,
20,20,In what month and year was the Somali alphabet introduced?,Oct-72,Oct-72,1,,
21,21,What might a partially conscious wrestler do? ,wrestler who is half-conscious may simply drape an arm over an opponent,place his foot gently on the opponent's body,0.120810745,,
22,22,What does NARTH stand for?,The National Association for Research & Therapy of Homosexuality,National Association for Research & Therapy of Homosexuality,0.087044468,,
23,23,Which BMX Champion had a park named after them in Oklahoma City?,Mat Hoffman,Mat Hoffman,1,,
24,24,Who was it essential to Islam to imitate?,the Prophet Mohammad,Sharia,0,,
